,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
def3PT[13],0.0215,0.0791,0.0014,0.0041,-0.1286,-0.0284,0.0202,0.0685,0.1822,,,,,,,,,,,
def3PT[14],-0.0057,0.0758,0.0014,0.0031,-0.1586,-0.0531,-0.0072,0.0425,0.1473,,,,,,,,,,,
def3PT[15],0.0007,0.0881,0.0016,0.0021,-0.1698,-0.0554,0.0008,0.0584,0.1689,,,,,,,,,,,
def3PT[16],0.0050,0.0759,0.0014,0.0032,-0.1449,-0.0432,0.0026,0.0536,0.1627,,,,,,,,,,,
def3PT[17],-0.0062,0.0768,0.0014,0.0032,-0.1529,-0.0573,-0.0060,0.0419,0.1469,,,,,,,,,,,
def3PT[18],0.0316,0.0772,0.0014,0.0034,-0.1150,-0.0212,0.0287,0.0796,0.1937,,,,,,,,,,,
def3PT[19],0.0252,0.0773,0.0014,0.0036,-0.1241,-0.0239,0.0237,0.0711,0.1895,,,,,,,,,,,
def3PT[20],0.0170,0.0719,0.0013,0.0031,-0.1179,-0.0322,0.0145,0.0635,0.1637,,,,,,,,,,,
def3PT[21],-0.0130,0.0767,0.0014,0.0032,-0.1640,-0.0629,-0.0135,0.0357,0.1386,,,,,,,,,,,
def3PT[22],0.0000,0.0865,0.0016,0.0023,-0.1728,-0.0520,0.0001,0.0510,0.1769,,,,,,,,,,,
def3PT[23],0.0006,0.0869,0.0016,0.0021,-0.1777,-0.0549,-0.0013,0.0558,0.1768,,,,,,,,,,,
def3PT[24],0.0359,0.0753,0.0014,0.0032,-0.1052,-0.0140,0.0327,0.0834,0.1929,,,,,,,,,,,
def3PT[25],-0.0214,0.0741,0.0014,0.0031,-0.1670,-0.0680,-0.0203,0.0258,0.1205,,,,,,,,,,,
def3PT[26],0.0082,0.0754,0.0014,0.0034,-0.1372,-0.0419,0.0079,0.0560,0.1677,,,,,,,,,,,
def3PT[27],-0.0395,0.0788,0.0014,0.0034,-0.2031,-0.0880,-0.0354,0.0121,0.1069,,,,,,,,,,,
def3PT[28],0.0313,0.0750,0.0014,0.0033,-0.1103,-0.0206,0.0295,0.0812,0.1805,,,,,,,,,,,
def3PT[29],-0.0015,0.0762,0.0014,0.0035,-0.1503,-0.0500,-0.0030,0.0436,0.1578,,,,,,,,,,,
def3PT[30],0.0455,0.0764,0.0014,0.0035,-0.0996,-0.0050,0.0430,0.0950,0.2045,,,,,,,,,,,
home3PT,0.0043,0.0588,0.0011,0.0063,-0.1120,-0.0346,0.0055,0.0474,0.1166,,,,,,,,,,,
c3PT,1.8564,0.0445,0.0008,0.0049,1.7730,1.8246,1.8562,1.8866,1.9491,,,,,,,,,,,
